Date,Open,High,Low,Close,Adj Close,Volume
2017-04-28,105.360001,105.639999,104.070000,104.190269,104.300003,8706200
2017-05-01,104.739998,106.849998,104.449997,106.527809,106.639999,7693300
2017-05-02,105.550003,105.599998,102.559998,103.371132,103.480003,15749300
2017-05-03,103.199997,104.639999,102.599998,104.140320,104.250000,8422600
2017-05-04,104.500000,104.949997,103.529999,103.740738,103.849998,5244700
2017-05-05,103.379997,104.150002,102.750000,103.750732,103.860001,5710700
2017-05-08,104.339996,104.400002,102.309998,102.661873,102.769997,9131000
2017-05-09,103.000000,104.930000,102.660004,102.831703,102.940002,21191800
2017-05-10,114.290001,121.820000,114.019997,121.162392,121.290001,53227400
2017-05-11,120.050003,130.429993,119.910004,126.366913,126.500000,48494800
2017-05-12,126.629997,129.600006,125.779999,127.755447,127.889999,24065500
2017-05-15,129.559998,134.410004,129.380005,134.168686,134.309998,27188500
2017-05-16,136.380005,137.440002,133.360001,136.666061,136.809998,28017500
2017-05-17,134.100006,134.860001,127.550003,127.585632,127.720001,31784200
2017-05-18,129.500000,133.429993,127.050003,132.930008,133.070007,28900800
2017-05-19,137.029999,138.220001,135.220001,136.000000,136.000000,25459300
2017-05-22,137.770004,139.479996,137.330002,138.899994,138.899994,20915200
2017-05-23,139.699997,139.789993,135.710007,137.029999,137.029999,17031200
2017-05-24,140.960007,141.070007,138.080002,138.570007,138.570007,20399900
2017-05-25,140.000000,140.029999,136.440002,138.259995,138.259995,15205700
2017-05-26,137.929993,145.279999,137.110001,141.839996,141.839996,19425900
2017-05-30,143.699997,146.289993,143.050003,144.869995,144.869995,24741300
2017-05-31,146.690002,147.000000,142.050003,144.350006,144.350006,22182900
2017-06-01,144.990005,145.029999,142.520004,144.360001,144.360001,12583500
2017-06-02,144.240005,145.300003,143.399994,143.639999,143.639999,12186400
2017-06-05,142.979996,148.529999,142.509995,148.009995,148.009995,20434400
2017-06-06,147.820007,149.690002,146.800003,147.339996,147.339996,18968200
2017-06-07,148.330002,149.880005,147.699997,149.119995,149.119995,15315300
2017-06-08,153.460007,160.000000,151.789993,159.940002,159.940002,29043600
2017-06-09,164.740005,168.500000,142.750000,149.600006,149.600006,92323200
2017-06-12,145.880005,151.699997,142.110001,149.970001,149.970001,42438300
2017-06-13,154.399994,154.770004,145.649994,151.399994,151.399994,41812600
2017-06-14,151.520004,154.059998,148.500000,151.720001,151.720001,29616000
2017-06-15,146.960007,153.600006,146.500000,152.369995,152.369995,24095600
2017-06-16,152.759995,154.699997,150.240005,151.619995,151.619995,23124000
2017-06-19,153.410004,157.529999,153.259995,157.320007,157.320007,19454400
2017-06-20,159.029999,161.740005,156.919998,157.089996,157.089996,27386100
2017-06-21,158.210007,159.619995,155.699997,159.470001,159.470001,17066300
2017-06-22,159.800003,160.339996,157.399994,158.369995,158.369995,11728300
2017-06-23,158.679993,159.320007,153.220001,153.830002,153.830002,27214700
2017-06-26,155.160004,156.600006,148.330002,152.149994,152.149994,26599000
2017-06-27,151.440002,151.789993,146.350006,146.580002,146.580002,24987300
2017-06-28,149.320007,151.940002,145.750000,151.750000,151.750000,24873700
2017-06-29,150.600006,150.720001,144.080002,146.679993,146.679993,26610600
2017-06-30,147.380005,147.929993,143.500000,144.559998,144.559998,18203400
2017-07-03,145.050003,145.649994,138.580002,139.330002,139.330002,17726800
2017-07-05,141.899994,144.220001,141.130005,143.050003,143.050003,20504700
2017-07-06,141.869995,145.380005,139.759995,143.479996,143.479996,18657100
2017-07-07,145.779999,147.500000,144.850006,146.759995,146.759995,16374300
2017-07-10,149.740005,154.000000,148.679993,153.699997,153.699997,23962300
2017-07-11,153.850006,156.190002,152.149994,155.880005,155.880005,18948900
2017-07-12,158.300003,163.000000,156.559998,162.509995,162.509995,28630200
2017-07-13,163.000000,166.300003,158.750000,160.630005,160.630005,34155900
2017-07-14,161.289993,165.000000,161.009995,164.949997,164.949997,23053063
